,OTU_ID,Closeness_RAW,Date,Sample_type,Genotype,CLose_log,combine
1086,Otu489,1.85E-05,4,Soil near roots,RNAi,-4.732313327,4Soil near rootsRNAi
1087,Otu903,1.88E-05,4,Soil near roots,RNAi,-4.725069984,4Soil near rootsRNAi
1088,Otu491,1.56E-06,4,Soil near roots,RNAi,-5.806179974,4Soil near rootsRNAi
1089,Otu1082,1.91E-05,4,Soil near roots,RNAi,-4.717920026,4Soil near rootsRNAi
1090,Otu1148,1.87E-05,4,Soil near roots,RNAi,-4.728735144,4Soil near rootsRNAi
1091,Otu966,1.91E-05,4,Soil near roots,RNAi,-4.719911064,4Soil near rootsRNAi
1092,Otu576,1.88E-05,4,Soil near roots,RNAi,-4.725298943,4Soil near rootsRNAi
1093,Otu1309,1.88E-05,4,Soil near roots,RNAi,-4.726376699,4Soil near rootsRNAi
1094,Otu1717,1.89E-05,4,Soil near roots,RNAi,-4.723431042,4Soil near rootsRNAi
1095,Otu592,1.84E-05,4,Soil near roots,RNAi,-4.736053713,4Soil near rootsRNAi
1096,Otu492,1.83E-05,4,Soil near roots,RNAi,-4.736619569,4Soil near rootsRNAi
1097,Otu482,1.88E-05,4,Soil near roots,RNAi,-4.725241715,4Soil near rootsRNAi
1098,Otu834,1.88E-05,4,Soil near roots,RNAi,-4.725503269,4Soil near rootsRNAi
1099,Otu782,1.89E-05,4,Soil near roots,RNAi,-4.723841358,4Soil near rootsRNAi
1100,Otu1460,1.88E-05,4,Soil near roots,RNAi,-4.726499002,4Soil near rootsRNAi
1101,Otu1259,1.93E-05,4,Soil near roots,RNAi,-4.715426686,4Soil near rootsRNAi
1102,Otu1012,1.91E-05,4,Soil near roots,RNAi,-4.720084847,4Soil near rootsRNAi
1103,Otu539,1.89E-05,4,Soil near roots,RNAi,-4.72389057,4Soil near rootsRNAi
1104,Otu962,1.87E-05,4,Soil near roots,RNAi,-4.727508724,4Soil near rootsRNAi
1105,Otu694,1.90E-05,4,Soil near roots,RNAi,-4.721018769,4Soil near rootsRNAi
1106,Otu992,1.92E-05,4,Soil near roots,RNAi,-4.717678823,4Soil near rootsRNAi
1107,Otu656,1.91E-05,4,Soil near roots,RNAi,-4.719057695,4Soil near rootsRNAi
1108,Otu557,1.81E-05,4,Soil near roots,RNAi,-4.743454887,4Soil near rootsRNAi
1109,Otu630,1.88E-05,4,Soil near roots,RNAi,-4.725078163,4Soil near rootsRNAi
1110,Otu1702,1.55E-06,4,Soil near roots,RNAi,-5.808348737,4Soil near rootsRNAi
1111,Otu661,1.92E-05,4,Soil near roots,RNAi,-4.716020047,4Soil near rootsRNAi
1112,Otu741,1.91E-05,4,Soil near roots,RNAi,-4.719513586,4Soil near rootsRNAi
1113,Otu628,1.78E-05,4,Soil near roots,RNAi,-4.749751771,4Soil near rootsRNAi
1114,Otu745,1.93E-05,4,Soil near roots,RNAi,-4.71440521,4Soil near rootsRNAi
1115,Otu1001,1.55E-06,4,Soil near roots,RNAi,-5.808348737,4Soil near rootsRNAi
1116,Otu7331,1.87E-05,4,Soil near roots,RNAi,-4.72928631,4Soil near rootsRNAi
1117,Otu1081,1.83E-05,4,Soil near roots,RNAi,-4.737987326,4Soil near rootsRNAi
1118,Otu1354,1.83E-05,4,Soil near roots,RNAi,-4.737749074,4Soil near rootsRNAi
1119,Otu1122,1.56E-06,4,Soil near roots,RNAi,-5.807806884,4Soil near rootsRNAi
