SampleID	Type	Site	Year	Plantstage	Line	Genotype2	Genotype	Treatment
TSS37	Bulk soil	Field	2016	Boot	WT	WT	WT	NA
TSS41	Bulk soil	Field	2016	Grainfill	414-2	pks40	RNAi	NA
TSS42	Bulk soil	Field	2016	Grainfill	414-2	pks40	RNAi	NA
TSS43	Bulk soil	Field	2016	Grainfill	414-2	pks40	RNAi	NA
TSS44	Bulk soil	Field	2016	Grainfill	414-2	pks40	RNAi	NA
TSS45	Bulk soil	Field	2016	Grainfill	414-2	pks40	RNAi	NA
TSS46	Bulk soil	Field	2016	Grainfill	621-1	pks44	RNAi	NA
TSS47	Bulk soil	Field	2016	Grainfill	621-1	pks44	RNAi	NA
TSS48	Bulk soil	Field	2016	Grainfill	621-1	pks44	RNAi	NA
TSS49	Bulk soil	Field	2016	Grainfill	621-1	pks44	RNAi	NA
TSS50	Bulk soil	Field	2016	Grainfill	621-1	pks44	RNAi	NA
TSS51	Bulk soil	Field	2016	Grainfill	WT	WT	WT	NA
TSS52	Bulk soil	Field	2016	Grainfill	WT	WT	WT	NA
TSS53	Bulk soil	Field	2016	Grainfill	WT	WT	WT	NA
TSS54	Bulk soil	Field	2016	Grainfill	WT	WT	WT	NA
TSS55	Bulk soil	Field	2016	Grainfill	WT	WT	WT	NA
TSS56	Bulk soil	Field	2016	Grainfill	WT	WT	WT	NA
TSS57	Bulk soil	Field	2016	Grainfill	WT	WT	WT	NA
SOIL137	Bulk soil	Field	2015	7leafstage	414-2	pks40	RNAi	NA
SOIL138	Bulk soil	Field	2015	7leafstage	414-2	pks40	RNAi	NA
SOIL139	Bulk soil	Field	2015	7leafstage	414-4	pks40	RNAi	NA
SOIL140	Bulk soil	Field	2015	7leafstage	414-4	pks40	RNAi	NA
SOIL145	Bulk soil	Field	2015	7leafstage	621-1	pks44	RNAi	NA
SOIL146	Bulk soil	Field	2015	7leafstage	621-1	pks44	RNAi	NA
SOIL161	Bulk soil	Field	2015	Grainfill	414-2	pks40	RNAi	NA
SOIL162	Bulk soil	Field	2015	Grainfill	414-2	pks40	RNAi	NA
SOIL163	Bulk soil	Field	2015	Grainfill	414-4	pks40	RNAi	NA
SOIL164	Bulk soil	Field	2015	Grainfill	414-4	pks40	RNAi	NA
SOIL169	Bulk soil	Field	2015	Grainfill	621-1	pks44	RNAi	NA
SOIL170	Bulk soil	Field	2015	Grainfill	621-1	pks44	RNAi	NA
SOIL153	Bulk soil	Field	2015	7leafstage	WT-1	WT	WT	NA
SOIL154	Bulk soil	Field	2015	7leafstage	WT-1	WT	WT	NA
SOIL155	Bulk soil	Field	2015	7leafstage	WT-2	WT	WT	NA
SOIL156	Bulk soil	Field	2015	7leafstage	WT-2	WT	WT	NA
SOIL174	Bulk soil	Field	2015	Grainfill	WT-1	WT	WT	NA
SOIL175	Bulk soil	Field	2015	Grainfill	WT-2	WT	WT	NA
SOIL176	Bulk soil	Field	2015	Grainfill	WT-2	WT	WT	NA
RHZTS9	Rhizosphere	Field	2015	7leafstage	414-2	pks40	RNAi	NA
RHZTS29	Rhizosphere	Field	2015	7leafstage	414-2	pks40	RNAi	NA
RHZTS15	Rhizosphere	Field	2015	7leafstage	414-2	pks40	RNAi	NA
RHZTS39	Rhizosphere	Field	2015	7leafstage	414-2	pks40	RNAi	NA
RHZTS49	Rhizosphere	Field	2015	Grainfill	414-2	pks40	RNAi	NA
RHZTS69	Rhizosphere	Field	2015	Grainfill	414-2	pks40	RNAi	NA
RHZTS55	Rhizosphere	Field	2015	Grainfill	414-2	pks40	RNAi	NA
RHZTS79	Rhizosphere	Field	2015	Grainfill	414-2	pks40	RNAi	NA
RHZTS3	Rhizosphere	Field	2015	7leafstage	414-4	pks40	RNAi	NA
RHZTS24	Rhizosphere	Field	2015	7leafstage	414-4	pks40	RNAi	NA
RHZTS31	Rhizosphere	Field	2015	7leafstage	414-4	pks40	RNAi	NA
RHZTS16	Rhizosphere	Field	2015	7leafstage	414-4	pks40	RNAi	NA
RHZTS43	Rhizosphere	Field	2015	Grainfill	414-4	pks40	RNAi	NA
RHZTS64	Rhizosphere	Field	2015	Grainfill	414-4	pks40	RNAi	NA
RHZTS71	Rhizosphere	Field	2015	Grainfill	414-4	pks40	RNAi	NA
RHZTS56	Rhizosphere	Field	2015	Grainfill	414-4	pks40	RNAi	NA
